"Category","Measure","Mean.Group1","Mean.Group2","Valence","R2","p","p.code"
"Fictionality","Distance",38024.079,131262.736,"-",0.366,0,"***"
"Fictionality","GPEs",38.889,126.523,"-",0.515,0,"***"
"Fictionality","NonGPEs",275.668,241.345,"-",0.674,0,"***"
"Fictionality","Deictics",0.109,0.038,"+",0.303,0,"***"
"Fictionality","Semantic Dist",0.522,0.504,"-",0.106,0.03175,"*"
"Fictionality","nonGPE_GPE_Ratio",14.331,3.99,"+",0.186,0,"***"
"Prestige","Distance",48967.555,49650.145,"+",0.109,0.21387,"."
"Prestige","GPEs",42.14,50.305,"-",0.211,0.95534,"."
"Prestige","NonGPEs",258.345,310.984,"+",0.563,0.46981,"."
"Prestige","Deictics",0.087,0.109,"-",0.039,0.00028,"***"
"Prestige","Semantic Dist",0.531,0.52,"+",0.089,0.00074,"***"
"Prestige","nonGPE_GPE_Ratio",12.087,10.589,"+",0.039,0.05426,"."
"Youth","Distance",15068.772,50558.837,"-",0.153,0,"***"
"Youth","GPEs",23.343,47.401,"-",0.251,0,"***"
"Youth","NonGPEs",208.819,283.538,"-",0.609,0,"***"
"Youth","Deictics",0.097,0.096,"+",0.019,0.35503,"."
"Youth","Semantic Dist",0.528,0.528,"+",0.035,0.14172,"."
"Youth","nonGPE_GPE_Ratio",21.378,11.792,"+",0.084,0,"***"
"Female Character","Distance",35721.669,39372.906,"+",0.142,0.49499,"."
"Female Character","GPEs",36.296,40.45,"+",0.215,0.69613,"."
"Female Character","NonGPEs",267.598,280.738,"+",0.623,0.00036,"***"
"Female Character","Deictics",0.107,0.111,"-",0.099,0.69669,"."
"Female Character","Semantic Dist",0.519,0.524,"-",0.158,0.00641,"**"
"Female Character","nonGPE_GPE_Ratio",14.889,14.03,"+",0.072,0.717,"."
